gene_id,S17S17_1,S17S17_2,S17S17_3,S17SDMSO_1,S17SDMSO_2,S17SDMSO_3,S5S1_1,S5S1_2,S5S1_3,S5SDMSO_1,S5SDMSO_2,S5SDMSO_3,S17S18_1,S17S18_2,S17S18_3,S13S8_1,S13S8_2,S13S8_3,S13SDMSO_1,S13SDMSO_2,S13SDMSO_3,S6S6_1,S6S6_2,S6S6_3,S6SDMSO_1,S6SDMSO_2,S6SDMSO_3
RPTN,0.00677103,0.0,0.017157,0.0179887,0.00574751,0.0356724,0.0,0.0,0.00557319,0.00545924,0.02274,0.0184212,0.00635548,0.00642962,0.0176365,0.0,0.0,0.0,0.0,0.0,0.0,0.012061,0.0110647,0.0120424,0.0185238,0.0,0.00687694
RPTOR,3.8428,4.17594,3.07844,3.6912,3.92878,3.54492,5.18031,5.60072,5.23848,5.0285,5.24182,4.9412,3.36062,3.51218,3.97544,7.01858,6.58636,6.24314,6.11161,8.58631,7.55216,4.92667,4.46806,4.51327,5.65178,5.67765,5.69213
RPUSD1,14.4991,14.3698,11.749,14.4477,16.5999,15.0575,14.3537,17.6578,14.5106,11.7681,13.0146,14.5517,11.8529,13.4265,14.4418,22.9258,20.1658,19.4138,21.7618,31.9232,26.1572,15.0512,13.2952,12.4856,16.0271,17.8421,17.1081
RPUSD2,1.88964,2.09415,2.15065,2.53355,3.0278,3.30514,3.17239,2.89442,2.66352,2.72901,2.68221,3.07,2.97055,2.50299,2.06105,3.05111,2.80176,2.92884,4.58838,4.5445,3.47508,3.22663,2.60595,2.66297,3.27053,3.42675,3.77439
RPUSD3,10.2374,10.9784,9.01456,8.65637,9.86051,10.077,6.68618,6.96488,6.39224,9.49354,8.21975,8.34675,8.78022,6.98259,9.24873,13.8821,14.2745,14.1014,8.83892,11.5336,9.9217,9.14378,7.87802,7.35915,9.64013,10.3295,10.4319
RPUSD4,4.09746,3.24104,3.92953,4.1831,4.8339,3.57331,3.53675,4.0368,3.67436,4.47732,4.11944,4.36096,3.42834,3.44216,3.52039,4.21212,3.7902,3.95392,4.63315,4.62638,4.62451,4.78604,3.61169,4.15623,3.67077,4.09837,3.79935
RRAD,0.0446609,0.0,0.0,0.0,0.0,0.0445309,0.0800327,0.0,0.0413222,0.169666,0.0870906,0.0,0.0829776,0.0,0.123366,0.0,0.0,0.0,0.0452623,0.120405,0.0,0.159783,0.0824683,0.0845637,0.0,0.0,0.0409391
RRAGA,36.871,33.5095,35.6974,37.2033,37.9086,36.6658,38.9354,39.2545,36.5485,38.9489,39.2932,41.0012,35.3084,33.8384,32.7531,46.3746,46.7204,47.106,43.5467,44.3145,45.3434,41.6321,37.0568,35.9876,41.5806,44.2816,44.7818
RRAGB,4.3885,5.06593,5.18052,3.67956,3.3851,3.31338,3.34232,2.59998,2.80673,2.87158,3.06716,3.20579,4.8054,5.24723,4.34036,1.32254,1.31947,0.887064,2.04601,1.02526,1.6717,3.49155,4.23281,4.02457,3.33144,3.04331,2.53725
RRAGC,12.5719,12.7453,11.6296,8.32927,8.56144,8.01468,11.427,10.4916,10.921,10.4804,10.5707,11.5586,10.1461,13.1014,11.3249,8.95772,8.03639,8.12124,6.75931,4.65724,5.72887,14.5591,15.3057,15.4522,7.74966,8.25022,7.35962
